thumbnail_url,title,synopsis,rating,genre,audience_score,tomatometer_score,language,director,writer,producer,theater_release_date,streaming_release_date,usa_box_office_gross,runtime,distributor,production_company,soundmix
https://resizing.flixster.com/Sdiuk9mEZ_eyrfYKcbxEPeul5DY=/206x305/v2/https://resizing.flixster.com/__Ur99dV1IRHqH802zGaGe6CnaU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzIxYTgyZmE3LWFmZGEtNDBiZS1hMmE3LWM4Mzk4ZGRkZDU3MC53ZWJw,The Meg,"Previously thought to be extinct, a massive creature attacks a deep-sea submersible, leaving it disabled and trapping the crew at the bottom of the Pacific. With time running out, a visionary oceanographer recruits rescue diver Jonas Taylor to save the crew and the sea itself from an unimaginable threat -- a 75-foot-long prehistoric shark known as the Megalodon.",PG-13 (Bloody Images|Action/Peril|Some Language),"['Sci-fi', 'Mystery & thriller', 'Action', 'Adventure']",43,46,English,['Jon Turteltaub'],"['Dean Georgaris', 'Jon Hoeber', 'Erich Hoeber']","['Lorenzo di Bonaventura', 'Colin Wilson', 'Belle Avery']","Aug 10, 2018
 wide","Oct 30, 2018",$142.8M,1h 53m,Warner Bros. Pictures,"['Maeday Productions', 'Apelles Entertainment', 'Warner Bros. Pictures', 'Flagship Entertainment', 'Gravity Pictures', 'Di Bonaventura Pictures']","['SDDS', 'Dolby Atmos']"
https://resizing.flixster.com/UCxd78OdcaPp4t3YUF5El6MasZI=/206x305/v2/https://resizing.flixster.com/K4kuKhTHuNOu_vaVhe-d7MzrAyI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FiZjkzNTE0LWM1N2ItNDhiMS05NTBmLTkwYzZjNWY1ZmU5Ny5qcGc=,They Cloned Tyrone,"A series of eerie events thrusts an unlikely trio (John Boyega, Jamie Foxx and Teyonah Parris) onto the trail of a nefarious government conspiracy in this pulpy mystery caper.",R (Violence|Drug Use|Some Sexual Material|Pervasive Language),"['Sci-fi', 'Comedy']",100,94,English,['Juel Taylor'],"['Tony Rettenmaier', 'Juel Taylor']","['Jamie Foxx', 'Charles D. King', 'Stephen ""Dr"" Love', 'Tony Rettenmaier', 'Kim Roth', 'Juel Taylor', 'Datari Turner']","Jul 14, 2023
 limited","Jul 21, 2023",N/A,2h 2m,Netflix,"['Federal Films', 'Made With Love Media', 'MACRO']",['Dolby Digital']
https://resizing.flixster.com/2KWy7Gle9KyGewLuWgP1n4pWbQg=/206x305/v2/https://resizing.flixster.com/Mo3qsby3asQ0RB0pO5pFfkX5eBs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JhNjg1NDMwLTFjZjctNGZiNi04NDRhLTExNGI3ZWQzNGM2MC5qcGc=,The Night of the 12th,"In nearly every police precinct, detectives are inevitably confronted with a case that goes unsolved. The more heinous the crime, the more it haunts those whose duty it is solve it. Such is the dilemma for Yohan Vivès--a young, recently promoted police Captain--when he begins investigating the gruesome murder of a young women named Clara in the town of Grenoble. It's clear that the attack was pre-meditated, and the violent nature of the crime suggests revenge. Vivés' team methodically digs through the details of Clara's life, uncovering her secrets in hopes of weeding out the killer. Certain their suspect is a scorned ex-lover, Vivés is confronted with another, more complicated question: which one? Based on a true crime book by Pauline Guéna, The Night of the 12th is a gritty mystery that's ""both highly effective and brilliantly acted, where procedures and mindsets reveal a frayed society"" (Cineuropa), posing uneasy questions about the male-dominated world of law enforcement, and their ability to handle the violent crimes routinely perpetrated against women victims.",N/A,"['Crime', 'Drama', 'Mystery & thriller']",97,93,French (France),['Dominik Moll'],"['Gilles Marchand', 'Dominik Moll']","['Caroline Benjo', 'Barbara Letellier', 'Carole Scotta', 'Simon Arnal']","May 19, 2023
 limited","Aug 1, 2023",$64.6K,1h 55m,Film Movement,"['Ciné+', 'VOO', 'Cinéventure 7', 'Versus Production', 'Haut et Court', 'Cinécap 5', 'Tax Shelter du Gouvernement Fédéral Belge', 'Région Auvergne-Rhône-Alpes', 'Radio Télévision Belge Francophone', 'Auvergne Rhône-Alpes Cinéma', 'Proximus', ""Centre National du Cinéma et de L'image Animée"", ""O'Brother Distribution"", ""Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles"", 'Wallimage', 'BE TV', 'RTBF', 'Cinémage 16', 'Canal+', 'Doco Digital']",N/A
https://resizing.flixster.com/7BvHbqYVikal2I8DAX-HnNSdrdU=/206x305/v2/https://resizing.flixster.com/p8g-u3ZgPuxrg4x7aq1tidyffGg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FiZDg0OTc0LWVkMTktNDVhYS05ODljLTNkMjYxMjA0OTdjMy5qcGc=,Guardians of the Galaxy Vol. 3,"In Marvel Studios ""Guardians of the Galaxy Vol. 3"" our beloved band of misfits are looking a bit different these days. Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),"['Sci-fi', 'Adventure', 'Action', 'Fantasy', 'Comedy']",94,81,English,['James Gunn'],['James Gunn'],['Kevin Feige'],"May 5, 2023
 wide","Jul 7, 2023",$359.0M,2h 30m,Walt Disney Pictures,"['Film New Zealand', 'Marvel Studios', 'Troll Court Entertainment', 'Marvel Entertainment', 'Québec Film & TV Production Tax Credit']","['Dolby Digital', 'Dolby Atmos']"
https://resizing.flixster.com/bjuS8y_McrFxpUqELexeSSFhYjc=/206x305/v2/https://resizing.flixster.com/fOEff3_mr4cD9PpCi53n0m488xw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhjMWM4OGQzLTZlZWYtNDJiYi05ZWIyLWM0YmFjOTg0NGQwYS5wbmc=,River Wild,"Joey (Leighton Meester) fears there could be trouble ahead after her brother Gray (Taran Killam) invites Trevor (Adam Brody), a childhood friend with a troubled past, on their whitewater rafting adventure with two tourists. Once they become stranded in raging rapids, the thrill-seeking trip quickly turns from exciting to utterly terrifying as the rafters are trapped in a desperate fight for their lives, all while someone seems intent on sabotage to ensure shocking secrets stay buried. To survive the wild river, Joey will have to face her fears, and everyone will have to develop killer instincts before they’re torn apart by deception aboard the raft, or by deadly waters wreaking havoc all around them.",PG-13 (Violence|Brief Suggestive Material|Strong Language|Some Bloody Images),"['Mystery & thriller', 'Adventure']",40,82,English,['Ben Ketai'],"['Ben Ketai', 'Mike Le']","['Ogden Gavanski', 'Anne-Marie Roberge', 'Daniel Kresmery']",N/A,"Aug 1, 2023",N/A,1h 31m,Universal Pictures Home Entertainment,"['Universal 1440 Entertainment', 'Hero Squared']",N/A
https://resizing.flixster.com/Oi8iI3pfLiIfCN73XLNO0VbGFDg=/206x305/v2/https://resizing.flixster.com/SrDz28XfRSTtRFXqt7QJp1N7oWM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRhMTU5ZjRmLTI2NDEtNDgxMi05NDA0LWIyZWQxOGFlYTFmOS5qcGc=,LOLA,"1941, sisters Thom and Mars have built a machine, LOLA, that can intercept radio and TV broadcasts from the future. This allows them to listen to iconic music before it has been made, place bets knowing what the outcome will be and embrace their inner punk well before the movement came into existence. But with the Second World War escalating, the sisters decide to use the machine for good to intercept information from the future that could help with military intelligence. The machine initially proves to be a huge success, rapidly twisting the fortunes of the war against the Nazis. While Thom becomes intoxicated by LOLA, Mars begins to realize the terrible consequences of its power.",N/A,"['Sci-fi', 'War', 'Drama']",74,100,English,['Andrew Legge'],"['Andrew Legge', 'Angeli MacFarlane', 'Andrew Legge', 'Angeli Macfarlane']","['Alan Maher', 'John Wallace']","Aug 4, 2023
 limited","Aug 4, 2023",N/A,1h 19m,Dark Sky Films,N/A,N/A
https://resizing.flixster.com/Zw81iyXA4jk2iFmx1iPq2xTiuKg=/206x305/v2/https://flxt.tmsimg.com/assets/p25318034_v_v13_aa.jpg,Sound of the Police,An in-depth look at the fraught relationship between African Americans and law enforcement from slavery to the present.,N/A,['Documentary'],,,English,['Stanley Nelson'],N/A,['Stanley Nelson'],"Aug 11, 2023
 limited","Aug 11, 2023",N/A,1h 25m,Hulu,['ABC News'],N/A
https://resizing.flixster.com/z9l9W4Gxrc6-0q0CcnX8que3mZU=/206x305/v2/https://resizing.flixster.com/Lsy2hi0j-nfhiy_4-5FduPr1qC4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JkMTRjMTFkLWEyYWMtNDJjNS1iMWFkLWU0ZTM3NTZiZjIzNC5qcGc=,The Communion Girl,"After moving to a new town, a teenage girl tries to fit in with other teens but meets a terrifying ghost.",N/A,['Horror'],,60,Spanish (Spain),['Víctor García'],['Guillem Clua'],N/A,N/A,"Aug 11, 2023",N/A,1h 39m,Shudder,N/A,N/A
https://resizing.flixster.com/DmYR_TGjgXhKSn_e_KvvEHPytjY=/206x305/v2/https://resizing.flixster.com/E5nIZsiFYj3aREqLyJCsz1nTzKg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg5NjljZWEwLWVkNjQtNDJhMy05MDE3LTUyMzE0NDkxNGQ1Yi5qcGc=,A New Life,A young father reluctantly enters back into the dating scene with the help of his daughter six years after the untimely passing of his wife.,N/A,"['Romance', 'Comedy', 'Drama']",,,English,['Choice Skinner'],['Choice Skinner'],"['Choice Skinner', 'Janessa Morgan', 'Chris Rouse', 'Shar Ross']",N/A,"Aug 11, 2023",N/A,1h 49m,Buffalo 8,"['Darkan Entertainment', 'Royal Tramp King Films']",N/A
https://resizing.flixster.com/zGHH8PuQXBuxfn7zWPZ1ntuR8lA=/206x305/v2/https://flxt.tmsimg.com/assets/p25164118_v_v13_aa.jpg,All Up in the Biz,Celebrity interviews and rare archival footage provide insight into the life and legacy of hip-hop icon Biz Markie.,N/A,"['Documentary', 'Music', 'Biography']",100,,English,['Sacha Jenkins'],"['Sacha Jenkins', 'Andre Wilkins']","['Andre Wilkins', 'Djali Brown-Cepeda']",N/A,"Aug 11, 2023",N/A,1h 40m,Paramount+,['Mass Appeal'],N/A
