movie,posted_by,text,date_posted,review_type
The Meg,Alejandro Turdo,"The Meg is an acceptable link in the sharksxplotation chain, recognizing itself as disposable entertainment and knowing its premise isn't the most intelligent but that it's ridiculous enough... [Full review in Spanish]","Aug 7, 2023",critic_review
The Meg,Cory Woodroof,"If you just want a big, dumb movie about a giant shark terrorizing a group of ocean-bound scientists and Jason Statham, you could do a lot worse than The Meg.","Aug 4, 2023",critic_review
The Meg,Manuel São Bento,"If a movie is filled with stereotypical characters, a generic plot, and a bunch of incongruencies, at least own it. This is where The Meg fails to deliver. It does not know what it wants to be...","Jul 24, 2023",critic_review
The Meg,Kate Boyle,"This movie is purely meant to entertain and it does. It’s exciting, intense, had just the right amount of humor.","Mar 8, 2023",critic_review
The Meg,Keith Garlington,"I give the filmmakers credit for not even attempting to hide what they are going for – goofy, preposterous and a whole lot of Jason Statham.","Aug 24, 2022",critic_review
The Meg,Brian Eggert,The overall lack of humor robs the viewer of escapist fun.,"Mar 11, 2022",critic_review
The Meg,Jason Adams,"There is indeed a shark, and there is indeed Jason Statham, and you're already halfway to a movie there so it's not all bad","Feb 25, 2022",critic_review
The Meg,Taylor Baker,Episode 7: Globalism,"Aug 28, 2021",critic_review
The Meg,Kip Mooney,Succeeds because it knows exactly what it is and doesn't try to be more than that.,"Aug 21, 2021",critic_review
The Meg,Richard Crouse,"Its tagline is 'Pleased to eat you.' There is no need for a review. You know exactly what you're getting into here but, because I am paid by the word, here we go.","Mar 4, 2021",critic_review
The Meg,Mike Massie,"Despite the rarity of theatrical shark movies, The Meg consistently underwhelms -- even down to its basest slasher film qualities, such as the restrained amount of beachgoer destruction and the high number of survivors at the conclusion.","Dec 7, 2020",critic_review
The Meg,Dan Buffa,The Meg is a trite and stereotypical mess that is often too silly and predictable for its own good.,"Nov 9, 2020",critic_review
The Meg,Paul McGuire Grimes,Stay home and watch Jaws instead.,"Nov 4, 2020",critic_review
The Meg,Lucy Buglass,The Meg makes no effort to try and explain anything which was frustrating to me.,"Oct 19, 2020",critic_review
The Meg,Andrew Gaudion,"When it comes to comparing it to the other inhabitants that occupy shark movie waters, The Meg is thankfully more akin to Deep Blue Sea than it is Jaws: The Revenge.","Aug 30, 2020",critic_review
The Meg,Jason Fraley,"Turteltaub plays the premise way straighter than you'd expect, treading water between a serious thriller and a tongue-in-cheek ""Sharknado"" spoof, never becoming truly great at either.","Aug 29, 2020",critic_review
The Meg,Matt Cipolla,I was never bored by The Meg -- just constantly underwhelmed.,"Jul 25, 2020",critic_review
The Meg,Alex Hudson,n outrageous romp about a prehistoric shark that succeeds nicely on its modest terms.,"Jul 18, 2020",critic_review
The Meg,Brent McKnight,"Ultimately, The Meg disappoints most because we see what could have been. Somewhere in here there's a pared-down, gore-soaked, R-rated version of this that's amazing. But it certainly isn't this.","Jun 30, 2020",critic_review
The Meg,Steven Prokopy,"As far as giant monster movies go, this one packs a great deal of bite... even without a whole lot of actual biting.","Jun 22, 2020",critic_review
The Meg,Laken G,"This is after many rewatches mind you. I know I'm late to the party but here I am anyways. The MEG gives you some entertaining action, for the concept. Nothing crazy but only things that can be done with this idea. The visuals are amazing though, I wish movies now could look like this. The cast give good performances even though they're dialogue can be interesting. The scores and music are actually pretty good, nothing that will get stuck in your head but stuff that will get the viewing experience to be more enjoyable. Now onto the plot. It actually takes a little bit for the film to start going. But once it does it picks up the pace and does a mostly good job. Overall it's no Jaws but it's something I'm happy we as an audience have been given a chance to sink our teeth into. 6/10","Aug 11, 2023",audience_review
The Meg,Anthony G,Jason Statham in all his heroic pageantry. The movie doesn't take itself too seriously and aims directly for the summertime entertainment experience.,"Aug 11, 2023",audience_review
The Meg,Andy S,"(I'm Mistletoe Virus I'm saying I love this movie!) Personally, I like Jason Statham, the Meg is one of the summer's most fun, most mindless blockbusters!","Aug 11, 2023",audience_review
The Meg,Walt C,Yep ...... ........ ..........,"Aug 11, 2023",audience_review
The Meg,Laura S,Wasn't a fan of the love interest,"Aug 11, 2023",audience_review
